"id","imei","software_version","imsi","status_code","app_id"
1,"867329060023707","","315010003201513",1,0
2,"867329060024069","","315010003201514",1,1
3,"867329060025173","","315010003201515",1,2
4,"867329060024101","","315010003201516",1,3
5,"867329060011827","","315010003201517",1,4
6,"867329060010001","","315010003201518",1,5
7,"867329060026999","","315010003201519",1,6
8,"867329060023756","","315010003201520",1,7
9,"867329060014300","","315010003201521",1,8
10,"867329060024333","","315010003201522",1,9
11,"867329060024440","","315010003201523",1,10
12,"867329060015075","","315010003201524",1,11
13,"867329060016370","","315010003201525",1,12
14,"867329060019556","","315010003201526",1,13
15,"867329060025660","","315010003201527",1,14
16,"867329060024556","","315010003201528",1,15
17,"867329060018376","","315010003201529",1,16
18,"867329060025181","","315010003201530",1,17
19,"867329060016768","","315010003201531",1,18
20,"867329060023889","","315010003201532",1,19
21,"867329060024119","","315010003201533",1,20
22,"867329060024366","","315010003201534",1,21
23,"867329060024804","","315010003201535",1,22
24,"867329060019036","","315010003201536",1,23
25,"867329060024630","","315010003201537",1,24
26,"867329060022048","","315010003201538",1,25
27,"867329060024663","","315010003201539",1,26
28,"867329060026833","","315010003201540",1,27
29,"867329060020091","","315010003201541",1,28
30,"867329060020133","","315010003201542",1,29
31,"867329060019291","","315010003201543",1,30
32,"867329060025132","","315010003201544",1,31
33,"867329060004970","","315010003201545",1,32
34,"867329060022105","","315010003201546",1,33
35,"867329060026775","","315010003201547",1,34
36,"867329060024945","","315010003201548",1,35
37,"867329060025074","","315010003201549",1,36
38,"867329060024192","","315010003201550",1,37
39,"867329060014375","","315010003201551",1,38
40,"867329060011991","","315010003201552",1,39
41,"867329060027807","","315010003201553",1,40
42,"867329060018954","","315010003201554",1,41
43,"867329060008906","","315010003201555",1,42
44,"867329060011892","","315010003201556",1,43
45,"867329060019671","","315010003201557",1,44
46,"867329060025041","","315010003201558",1,45
47,"867329060022063","","315010003201559",1,46
48,"867329060019234","","315010003201560",1,47
49,"867329060013872","","315010003201561",1,48
50,"867329060024283","","315010003201562",1,49
51,"867329060024911","","315010003201563",1,50
52,"867329060024143","","315010003201564",1,51
53,"867329060024572","","315010003201565",1,52
54,"867329060018780","","315010003201566",1,53
55,"867329060024895","","315010003201567",1,54
56,"867329060023988","","315010003201568",1,55
57,"867329060024358","","315010003201569",1,56
58,"867329060004855","","315010003201570",1,57
59,"867329060006744","","315010003201571",1,58
60,"867329060018947","","315010003201572",1,59
61,"867329060018970","","315010003201573",1,60
62,"867329060025058","","315010003201574",1,61
63,"867329060005001","","315010003201575",1,62
64,"867329060018442","","315010003201576",1,63
65,"867329060009334","","315010003201577",1,64
66,"867329060024952","","315010003201578",1,65
67,"867329060024408","","315010003201579",1,66
68,"867329060023657","","315010003201580",1,67
69,"867329060024341","","315010003201581",1,68
70,"867329060014425","","315010003201582",1,69
71,"867329060004863","","315010003201583",1,70
72,"867329060005365","","315010003201584",1,71
73,"867329060024077","","315010003201590",1,72
74,"867329060025892","","315010003201591",1,73
75,"867329060022907","","315010003201592",1,74
76,"867329060012098","","315010003201593",1,75
77,"867329060027260","","315010003201594",1,76
78,"867329060025165","","315010003201595",1,77
79,"867329060007858","","315010003201596",1,78
80,"867329060019341","","315010003201597",1,79
81,"867329060019176","","315010003201598",1,80
82,"867329060008484","","315010003201928",1,81
83,"867329060025769","","315010003201929",1,82
84,"867329060025124","","315010003201930",1,83
85,"867329060003378","","315010003201931",1,84
86,"867329060015281","","315010003201932",1,85
87,"867329060005969","","315010003201933",1,86
88,"867329060004087","","315010003201934",1,87
89,"867329060009094","","315010003201935",1,88
90,"867329060009060","","315010003201936",1,89
91,"867329060009284","","315010003201937",1,90
92,"867329060028516","","315010003201938",1,91
93,"867329060010241","","315010003201939",1,92
94,"867329060004244","","315010003201940",1,93
95,"867329060024549","","315010003201941",1,94
96,"867329060003576","","315010003201942",1,95
97,"867329060005514","","315010003201943",1,96
98,"867329060003675","","315010003201944",1,97
99,"867329060005027","","315010003201945",1,98
100,"867329060003865","","315010003201946",1,99
101,"867329060016917","","315010003201947",1,100
102,"867329060026882","","315010003201948",1,101
103,"867329060004533","","315010003201949",1,102
104,"867329060027112","","315010003201950",1,103
105,"867329060008815","","315010003201951",1,104
106,"867329060015877","","315010003201952",1,105
107,"867329060010969","","315010003201953",1,106
108,"867329060018855","","315010003201954",1,107
109,"867329060028185","","315010003201955",1,108
110,"867329060017717","","315010003201956",1,109
111,"867329060023533","","315010003201957",1,110
112,"867329060024853","","315010003201958",1,111
113,"867329060023715","","315010003201959",1,112
114,"867329060023442","","315010003201960",1,113
115,"867329060022360","","315010003201961",1,114
116,"867329060017907","","315010003201962",1,115
117,"867329060023178","","315010003201963",1,116
118,"867329060021958","","315010003201964",1,117
119,"867329060023806","","315010003201965",1,118
120,"867329060025496","","315010003201966",1,119
121,"867329060022873","","315010003201967",1,120
122,"867329060023566","","315010003201968",1,121
123,"867329060023434","","315010003201969",1,122
124,"867329060023517","","315010003201970",1,123
125,"867329060025777","","315010003201971",1,124
126,"867329060023376","","315010003201972",1,125
127,"867329060023509","","315010003201973",1,126
128,"867329060027708","","315010003201974",1,127
129,"867329060023475","","315010003201975",1,128
130,"867329060027021","","315010003201976",1,129
131,"867329060024051","","315010003201977",1,130
132,"867329060014201","","315010003201978",1,131
133,"867329060023392","","315010003201979",1,132
134,"867329060016735","","315010003201981",1,133
135,"867329060025900","","315010003201982",1,134
136,"867329060007080","","315010003201983",1,135
137,"867329060027310","","315010003201984",1,136
138,"867329060017212","","315010003201985",1,137
139,"867329060012502","","315010003201986",1,138
140,"867329060026429","","315010003201987",1,139
141,"867329060023947","","315010003201988",1,140
142,"867329060025967","","315010003201989",1,141
143,"867329060006207","","315010003201990",1,142
144,"867329060028482","","315010003201991",1,143
145,"867329060018210","","315010003201992",1,144
146,"867329060028391","","315010003201993",1,145
147,"867329060023921","","315010003201994",1,146
148,"867329060014367","","315010003201995",1,147
149,"867329060024887","","315010003201996",1,148
150,"867329060023483","","315010003201997",1,149
151,"867329060027724","","315010003201998",1,150
152,"867329060025140","","315010003201999",1,151
153,"867329060003428","","315010003201599",1,152
154,"867329060024531","","315010003201600",1,153
155,"867329060025603","","315010003201601",1,154
156,"867329060010761","","315010003201602",1,155
157,"867329060024937","","315010003201603",1,156
158,"867329060025751","","315010003201604",1,157
159,"867329060026254","","315010003201605",1,158
160,"867329060024986","","315010003201606",1,159
161,"867329060025868","","315010003201607",1,160
162,"867329060018434","","315010003201608",1,161
163,"867329060026098","","315010003201609",1,162
164,"867329060012122","","315010003201610",1,163
165,"867329060023525","","315010003201611",1,164
166,"867329060005936","","315010003201612",1,165
167,"867329060009862","","315010003201613",1,166
168,"867329060009102","","315010003201614",1,167
169,"867329060017204","","315010003201615",1,168
170,"867329060025108","","315010003201616",1,169
171,"867329060024150","","315010003201617",1,170
172,"867329060010274","","315010003201618",1,171
173,"867329060018525","","315010003201619",1,172
174,"867329060024317","","315010003201620",1,173
175,"867329060018962","","315010003201621",1,174
176,"867329060027468","","315010003201623",1,175
177,"867329060019184","","315010003201624",1,176
178,"867329060013666","","315010003201625",1,177
179,"867329060022329","","315010003201626",1,178
180,"867329060026064","","315010003201627",1,179
181,"867329060028946","","315010003201628",1,180
182,"867329060019549","","315010003201629",1,181
183,"867329060024473","","315010003201630",1,182
184,"867329060024457","","315010003201631",1,183
185,"867329060007064","","315010003201632",1,184
186,"867329060019101","","315010003201633",1,185
187,"867329060024374","","315010003201634",1,186
188,"867329060027443","","315010003201822",1,187
189,"867329060015067","","315010003201825",1,188
190,"867329060025538","","315010003201826",1,189
191,"867329060023558","","315010003201827",1,190
192,"867329060027476","","315010003201828",1,191
193,"867329060026213","","315010003201829",1,192
194,"867329060026056","","315010003201830",1,193
195,"867329060023913","","315010003201831",1,194
196,"867329060025942","","315010003201832",1,195
197,"867329060022055","","315010003201833",1,196
198,"867329060024093","","315010003201834",1,197
199,"867329060015869","","315010003201835",1,198
200,"867329060028748","","315010003201836",1,199
201,"867329060028938","","315010003201844",1,200
202,"867329060025983","","315010003201845",1,201
203,"867329060018020","","315010003201846",1,202
204,"867329060022568","","315010003201847",1,203
205,"867329060016875","","315010003201848",1,204
206,"867329060019911","","315010003201849",1,205
207,"867329060016818","","315010003201850",1,206
208,"867329060018798","","315010003201851",1,207
209,"867329060018657","","315010003201852",1,208
210,"867329060024564","","315010003201853",1,209
211,"867329060028144","","315010003201854",1,210
212,"867329060025066","","315010003201855",1,211
213,"867329060013963","","315010003201856",1,212
214,"867329060026742","","315010003201857",1,213
215,"867329060022071","","315010003201858",1,214
216,"867329060024721","","315010003201859",1,215
217,"867329060028193","","315010003201860",1,216
218,"867329060018301","","315010003201861",1,217
219,"867329060026031","","315010003201862",1,218
220,"867329060022733","","315010003201863",1,219
221,"867329060016958","","315010003201864",1,220
222,"867329060023855","","315010003201865",1,221
223,"867329060024713","","315010003201866",1,222
224,"867329060027419","","315010003201867",1,223
225,"867329060026692","","315010003201868",1,224
226,"867329060023731","","315010003201869",1,225
227,"867329060020786","","315010003201870",1,226
228,"867329060015125","","315010003201871",1,227
229,"867329060024598","","315010003201872",1,228
230,"867329060026460","","315010003201873",1,229
231,"867329060022162","","315010003201874",1,230
232,"867329060024655","","315010003201875",1,231
233,"867329060024788","","315010003201876",1,232
234,"867329060011934","","315010003201877",1,233
235,"867329060009714","","315010003201878",1,234
236,"867329060023673","","315010003201879",1,235
237,"867329060024796","","315010003201880",1,236
238,"867329060018475","","315010003201881",1,237
